dis_1 dis_2 ang_1 e_har
0.91898 1.02411 99.31149 0.1586108356
0.87483 0.87919 94.10708 0.5187921264
0.93099 1.08269 84.00447 0.4225953889
0.96056 0.96088 111.06947 0.0301082095
0.89941 0.90639 99.46972 0.202633796
1.01785 1.02468 101.54086 0.1957963955
0.9642 0.96095 92.85278 0.0991986634
1.0025 1.01486 124.08493 0.3525535412
0.85954 0.88848 134.39888 1.4537164466
0.96479 0.94785 104.91822 0.0043212813
0.9932 0.9906 97.15156 0.0701349346
0.97134 0.99602 102.14129 0.0392948242
0.94535 0.97725 103.22217 0.0144410341
1.01276 1.13722 114.24228 0.9230681596
1.02264 0.95048 101.87941 0.1103653235
0.94927 0.94586 95.3114 0.0792519607
0.88051 1.05673 88.88689 0.455681033
1.15701 1.26257 99.52951 3.3104472854
0.95035 0.95161 104.43172 0.0032087712
0.90298 1.03204 121.04646 0.3019058245
0.98561 0.97745 105.44562 0.029955979
0.83768 0.83343 132.30221 1.8178225304
0.97687 0.98428 99.70968 0.0309842192
1.00879 1.00349 94.46568 0.1355087717
1.2014 0.9035 85.5797 1.9828533497
0.88246 0.88125 87.03222 0.7632048074
0.97161 0.9694 101.27025 0.010937187
0.95302 0.9517 103.8557 0.0025619708
0.89506 0.96591 97.74399 0.148607931
0.93378 1.02778 104.93591 0.1440714766
0.95657 0.95786 101.48182 0.0060296469
0.83773 1.19744 78.93697 1.4183116416
0.99725 0.94194 106.84813 0.0532288787
0.81169 1.04857 89.82166 0.8648044631
0.86426 1.13212 110.72055 1.0287152813
0.91438 1.06664 86.41696 0.3854759473
0.95681 0.97087 106.71205 0.0078821822
0.9811 0.97744 94.53905 0.0716572852
1.03594 0.97409 102.17435 0.1596623997
1.06622 0.87072 110.20964 0.558305853
1.03782 0.97025 105.23685 0.1706711125
0.9576 0.95648 101.8153 0.0048589108
0.89411 1.28352 98.10606 2.7662084783
0.96637 0.95312 105.0895 0.0028147798
1.20364 0.90133 129.08309 2.5268872336
0.93176 0.93068 106.16425 0.0398750277
0.8346 1.05567 74.63111 1.2475774309
0.99683 0.99298 96.00925 0.0865026613
1.11055 1.04883 107.71605 0.8407743327
0.99762 1.01028 111.3281 0.1429046477
0.92186 0.87179 145.75081 2.9419323088
0.95273 0.97275 103.18598 0.006667472
0.87354 1.05454 117.62086 0.4476739604
0.92733 0.96289 102.48914 0.0303948306
0.98629 0.91256 111.90845 0.1271927554
1.00643 1.0046 99.90723 0.1094945486
0.7959 0.85115 97.66575 1.1013177548
1.142 0.86496 112.82 1.2352690053
0.9341 0.93119 112.08005 0.0744769669
0.90567 0.92337 79.584 0.9219697813
0.98221 0.93652 97.82837 0.0636994371
0.9216 0.93065 114.75845 0.1298320503
0.94028 1.05678 107.69454 0.271578606
0.87139 0.92073 80.18048 1.0374634245
0.94059 0.95087 104.31402 0.0104130336
0.9458 0.95611 106.53048 0.0069121312
0.91315 0.78177 98.8621 0.9549349603
0.98829 1.01832 110.51502 0.1417819726
0.96237 0.97173 130.05482 0.5480548951
0.95017 0.95528 112.22624 0.0420621597
0.95996 0.99128 99.07168 0.0362339491
0.96998 0.93388 105.16245 0.020128619
1.00435 0.85959 101.72347 0.3296589553
0.98013 0.98067 110.2092 0.0494328365
0.91874 0.99644 102.06607 0.0830686512
0.95267 0.92226 105.72224 0.0363025234
1.09071 0.98439 64.6517 2.5562805145
0.98452 0.96805 95.70042 0.0617795207
1.00765 0.94561 99.75108 0.0798162142
0.94561 0.94686 106.32195 0.0097944944
0.88824 1.1772 96.84447 1.3067504946
0.89479 0.80032 119.50861 1.0350524752
0.96053 0.94135 103.05771 0.0100190234
0.88138 0.85896 103.12446 0.4252626182
0.9702 0.97437 114.60544 0.0781477542
0.92193 0.93161 114.90764 0.1300128758
1.09298 1.19056 118.0333 1.8430255506
0.97129 0.99444 107.94008 0.0479070985
0.95566 0.98714 105.14709 0.0224029336
0.99887 1.02006 123.91858 0.3437160039
0.95621 0.91383 106.34846 0.0547970175
0.97398 0.95418 101.37979 0.0120299426
1.07194 1.09008 115.4779 0.8402182892
0.96731 0.96709 108.96689 0.0187671281
0.99776 0.96656 108.58384 0.0580663179
0.96577 1.01938 118.01686 0.1809865053
0.89202 0.89936 76.40407 1.4111359543
0.95778 0.9623 91.98131 0.1168853993
1.19421 0.88347 121.77114 2.0542300891
1.10999 1.1134 99.28794 1.1608407727
0.95315 0.91307 102.7016 0.0608932183
0.94583 1.34942 100.2493 3.9300651013
0.85207 0.87296 139.85628 2.2198768768
0.95921 0.95922 101.14435 0.0068860376
0.92115 0.96613 111.05085 0.0606488895
0.86017 0.93885 97.35885 0.330218882
0.96764 0.94461 98.40466 0.0363340223
0.94488 0.94774 109.64826 0.0249665096
0.99267 0.96856 102.10526 0.0328745413
1.00224 1.13449 90.47812 0.6733270755
1.06089 0.85308 115.74166 0.7408914325
0.95969 0.96017 101.0252 0.0072792437
0.987 0.977 106.414 0.0345110783
0.95189 0.94338 112.81641 0.056777559
0.96853 0.9682 111.8617 0.042848515
0.94985 0.95007 101.90331 0.0096782647
0.88934 0.91956 107.18049 0.1656570196
0.8816 0.86317 103.12926 0.4025865961
0.99078 0.90443 118.03235 0.2890270083
0.96041 0.95609 98.5395 0.0247460692
0.87274 0.88806 132.18176 1.2087837857
0.95592 0.95764 114.89948 0.0750861208
0.89359 0.87126 126.63921 0.8602253336
0.96442 1.14028 82.49414 0.6134422429
0.96466 0.9207 109.28194 0.0567576669
0.9365 0.92455 96.26506 0.1170365494
0.98114 0.94066 106.15656 0.0248620334
0.92747 0.95646 103.22033 0.0280370572
0.92346 0.93119 115.49439 0.138486614
0.82986 1.195 106.91548 1.9321277428
1.05837 1.10553 107.35114 0.8431498304
0.93634 0.9379 114.645 0.097283913
0.94186 0.94773 105.45096 0.0107879763
1.00476 1.00392 125.6601 0.4004534363
1.09018 0.8996 135.68789 1.9013481826
0.98549 0.96485 109.04526 0.0377190022
1.08623 0.90224 141.68911 2.5923560255
0.82839 1.16573 82.00356 1.308650169
0.9325 0.93735 114.11979 0.0938204165
1.25547 0.97662 96.27675 2.3000645054
0.97056 0.96414 109.06291 0.0204981801
0.93035 0.93203 100.38448 0.0593383015
0.83883 0.84619 114.56537 0.7832352011
1.02283 0.99802 93.91406 0.1718537929
0.94305 0.97963 90.3362 0.1512124145
1.1865 1.18567 85.71751 2.1545924175
0.9495 0.9603 105.34895 0.0028016979
0.93542 0.92698 106.56985 0.0417433873
1.00276 0.99197 87.272 0.2386106322
1.01652 0.93626 98.31577 0.1271015173
1.04787 1.10467 107.4257 0.7843095012
0.95814 0.95601 103.98216 0.0003462097
0.98108 0.90352 98.40076 0.136232565
0.95769 0.94378 104.95881 0.0060198494
0.95954 0.96147 98.68089 0.0216543217
1.08207 1.06901 120.92933 0.8295099491
0.94263 0.93349 108.64298 0.033739897
1.01569 0.86501 130.51473 1.2352291857
0.98769 0.96945 98.3892 0.0408113558
1.0131 1.0223 119.12447 0.298448796
0.93411 0.92915 111.93351 0.0761287355
0.98421 0.98306 102.4067 0.0313496715
0.95401 0.95479 106.629 0.0040263672
1.00527 1.01707 121.54809 0.3055823895
0.99271 0.9371 107.20449 0.0506942299
0.87152 0.85399 94.29562 0.6678855562
0.90838 0.99409 95.30349 0.1468705804
1.12018 0.93042 98.36553 0.7219691819
0.95654 0.94394 104.94166 0.0059662047
0.96634 0.96665 104.26647 0.003045069
0.96662 0.94354 106.13941 0.0099086843
0.92883 0.93164 107.44712 0.0458988855
1.1842 0.97613 90.18337 1.396985304
1.01203 0.99823 122.38924 0.3269480324
1.2501 1.01282 99.20792 2.2674901699
1.06352 1.09306 83.57028 0.6372310796
1.02484 1.02157 124.07003 0.437207705
0.96269 0.92302 109.69801 0.0547558483
1.20449 1.10307 85.90499 1.8773890661
0.97089 0.92609 107.87897 0.0410958919
1.07387 1.08868 92.31311 0.67673216
