dis_1 dis_2 ang_1 delta_int
0.96066 0.94102 102.73622 0.0007864313
1.08232 1.08313 115.8169 0.0523277564
1.04614 1.10639 108.18995 0.0134028048
0.95022 0.94913 112.07435 -0.0038294583
0.98223 0.97872 120.04372 0.0162756764
0.96772 0.96486 104.45069 0.0000365812
0.96861 0.96651 102.36412 -0.0010087766
0.93974 0.94341 102.57879 0.0016682263
0.95364 0.96726 103.12559 -0.0000816859
0.8921 0.90695 110.74327 -0.0234332034
0.9995 0.83159 113.79427 -0.0167016798
0.97406 0.95572 105.83739 0.0005510130
0.99766 0.90755 103.60776 0.0012966711
0.99536 0.96356 98.82528 -0.0068367181
0.95182 0.95061 104.37199 -0.0000470817
0.83169 1.15536 80.53671 -0.0813103493
1.02185 1.02033 102.82121 -0.0072929336
0.97381 0.97691 103.84484 -0.0005753805
1.03351 1.07213 82.92748 -0.1385016599
0.96698 0.96378 99.49722 -0.0018853049
0.93531 0.94592 91.41253 0.0156394259
1.04833 0.9572 107.16119 0.0067582065
0.92454 0.95501 102.79333 0.0016892300
0.81247 1.01314 89.66639 0.0418457719
1.06647 0.89535 119.93262 0.0239463762
1.08768 1.16203 115.63074 0.0596897010
0.95873 0.95687 109.36596 -0.0002827420
0.88803 0.98821 109.73141 -0.0043822641
0.94421 0.95134 97.27485 0.0047840291
0.93725 1.19851 84.51074 -0.1474650455
0.95503 0.95491 103.03607 0.0002777985
0.9701 0.96448 98.21952 -0.0031179412
0.94666 0.94818 106.06034 -0.0011714034
0.90602 0.98271 97.21685 0.0065655747
0.95922 0.91185 103.05355 0.0017640464
0.99503 0.99325 103.68351 -0.0019756122
0.98378 0.98912 94.69465 -0.0166862470
0.86534 0.79297 112.46975 -0.0705490139
1.00486 0.83366 115.14939 -0.0165547207
0.94789 1.00783 105.27782 0.0013187428
0.86036 1.18524 72.84919 -0.1965304714
1.05337 1.08458 84.91875 -0.1422562613
0.83549 0.83831 100.83658 0.0212702715
0.96712 1.00038 106.95488 0.0033416926
0.93465 0.92608 111.55034 -0.0115978543
0.95042 1.00416 104.4839 0.0003550063
1.04908 0.86965 94.53791 0.0001353752
0.97786 0.98041 93.5593 -0.0138784912
0.94099 0.92261 122.18926 -0.0247027055
0.95966 0.85258 116.0702 -0.0320604764
1.18668 0.96548 91.23581 -0.0941248869
1.04414 0.95831 108.92573 0.0103419417
0.99498 0.94187 107.22352 0.0019477640
0.99794 0.97759 111.87774 0.0107710308
0.99113 0.93673 114.20878 0.0032914096
0.94891 0.9438 109.62752 -0.0036786877
0.93246 0.94816 104.63727 -0.0004242262
0.77771 1.00376 128.59355 -0.0664745247
1.01714 0.87236 133.28154 -0.0116782753
0.90443 0.92457 112.35861 -0.0206469216
0.90935 0.89767 99.1639 0.0166750060
0.86984 0.86264 114.7458 -0.0593563283
1.33612 0.97148 107.26074 0.0217672657
1.00616 1.01976 120.28084 0.0384838339
0.9919 0.93575 99.22576 -0.0012530593
1.01818 0.93349 97.65277 -0.0064439628
0.95909 0.96433 92.69676 -0.0021611471
0.955 0.96155 131.25955 -0.0006778670
0.99539 1.00979 124.50248 0.0394642409
0.93003 1.00621 118.41296 0.0079827122
0.89326 0.99502 106.80621 -0.0004508252
0.90604 0.99727 117.95653 -0.0028465552
0.91898 1.02411 99.31149 -0.0028692993
0.87483 0.87919 94.10708 0.0548592905
0.93099 1.08269 84.00447 -0.0710961279
0.96056 0.96088 111.06947 0.0006807655
0.89941 0.90639 99.46972 0.0156838667
1.01785 1.02468 101.54086 -0.0117124379
0.9642 0.96095 92.85278 -0.0027630501
1.0025 1.01486 124.08493 0.0435835184
0.85954 0.88848 134.39888 -0.1319087392
0.96479 0.94785 104.91822 -0.0000338958
0.9932 0.9906 97.15156 -0.0146266889
0.97134 0.99602 102.14129 -0.0033474840
0.94535 0.97725 103.22217 0.0000001867
1.01276 1.13722 114.24228 0.0459565691
1.02264 0.95048 101.87941 -0.0036552527
0.94927 0.94586 95.3114 0.0063899515
0.88051 1.05673 88.88689 -0.0123826968
1.15701 1.26257 99.52951 -0.0904870707
0.95035 0.95161 104.43172 -0.0000795996
0.90298 1.03204 121.04646 0.0115919829
0.98561 0.97745 105.44562 0.0011293907
0.83768 0.83343 132.30221 -0.1899463916
0.97687 0.98428 99.70968 -0.0060802907
1.00879 1.00349 94.46568 -0.0292810351
1.2014 0.9035 85.5797 -0.1206918475
0.88246 0.88125 87.03222 0.0975209766
0.97161 0.9694 101.27025 -0.0021157126
0.95302 0.9517 103.8557 0.0001559238
0.89506 0.96591 97.74399 0.0115780049
0.93378 1.02778 104.93591 0.0018167832
0.95657 0.95786 101.48182 0.0002675460
0.83773 1.19744 78.93697 -0.1351159329
0.99725 0.94194 106.84813 0.0019434791
0.81169 1.04857 89.82166 0.0232727801
0.86426 1.13212 110.72055 0.0259062589
0.91438 1.06664 86.41696 -0.0411774371
0.95681 0.97087 106.71205 0.0006855795
0.9811 0.97744 94.53905 -0.0125733105
1.03594 0.97409 102.17435 -0.0062000163
1.06622 0.87072 110.20964 0.0104654844
1.03782 0.97025 105.23685 0.0017027055
