dis_1 dis_2 ang_1 e_dir
0.96754 0.83168 115.42442 0.6276278752
0.99232 1.05655 96.65943 0.2402307852
0.93051 0.90472 123.32363 0.2814110681
1.03776 0.80904 94.51556 1.084755467
0.8099 1.00691 98.67611 0.9414160545
0.97298 1.02444 120.62481 0.2923256285
1.06997 0.95934 111.24709 0.305165721
0.9966 0.94125 117.13507 0.1506571992
0.96624 1.03429 88.722 0.2612012371
1.03981 0.90669 104.98 0.2290707508
1.02226 0.9178 93.63436 0.2141848057
0.94749 0.99308 111.26099 0.0671369683
0.94825 1.00808 120.08734 0.22484556
0.90086 0.88509 97.17521 0.3376828593
0.85662 1.0167 115.44299 0.5004606982
0.9347 1.09778 89.84102 0.4886154866
0.93849 0.89765 113.08165 0.1539526123
0.95567 1.07377 117.50026 0.4129519856
0.9436 0.8741 86.0677 0.5485555494
0.90506 0.90542 119.07947 0.260244248
0.88604 1.08075 111.15368 0.5120908636
0.85786 0.94529 89.89764 0.5546395255
1.06102 0.93159 93.53074 0.2977114094
1.03035 0.80707 91.01953 1.158466562
0.99544 1.02164 107.32656 0.1351701164
1.12989 0.99299 108.3257 0.5886172458
0.84845 0.99559 97.33403 0.5038548125
0.84006 1.05913 88.18891 0.9042616171
0.87626 1.00742 102.04504 0.2830459772
1.03847 1.00189 90.48675 0.2669260147
1.14349 0.9161 117.43158 0.8143462344
1.12504 1.03236 96.64914 0.613586917
0.89583 0.94592 96.30124 0.1902451181
1.0651 0.93305 86.77723 0.4296320156
1.04417 1.10358 94.64868 0.5588373281
1.13265 0.99267 90.31412 0.6245032053
0.87416 1.00475 113.77777 0.3320993386
1.00936 1.03284 100.99774 0.1766410986
0.98111 1.07397 97.6705 0.2867867645
0.96212 0.86885 105.88147 0.2638753734
0.90184 1.10408 117.92526 0.6535788271
0.83452 0.97381 90.50089 0.745153688
1.05459 0.84716 98.5607 0.656300665
1.13053 0.99698 117.96106 0.7448738298
1.04475 0.87851 114.3014 0.4372857648
1.031 0.90182 86.5412 0.4350415548
0.81448 0.97599 94.80527 0.8943360736
0.99394 1.16141 91.11253 0.7592278387
1.03651 1.0046 93.51979 0.2242184192
1.00657 1.11679 103.08824 0.5110742163
1.01394 1.07865 108.57191 0.3876927172
1.02866 0.91148 107.06244 0.1850861413
1.07521 0.87279 94.69878 0.574006288
0.96103 0.84414 113.84306 0.4878986407
1.11593 0.95178 114.88724 0.5729839835
0.93489 1.11569 108.14104 0.5029996702
1.03709 0.93278 96.79779 0.1826671933
0.94521 0.93834 113.35496 0.0594512756
0.87719 1.09663 93.2932 0.6519081813
