dis_1 dis_2 ang_1 delta_har
0.80258 0.91955 106.41581 0.3056802288
0.65412 1.02295 114.80683 3.0164250587
1.25312 1.10388 100.32905 -1.1740810625
1.21355 0.89328 82.74059 -0.6690698267
0.69198 1.1209 76.21487 1.4089150420
0.8953 0.99245 107.57327 0.0153005306
0.84442 0.96179 105.91157 0.1103085212
1.15765 1.11219 106.24749 -0.5492797706
1.09764 0.98896 82.63938 -0.0500483017
0.83782 0.92837 120.83765 0.0754049476
1.12695 0.73952 89.83876 0.6435739160
1.07363 0.63022 105.71139 3.9628602248
0.75861 1.17058 76.51507 0.0635554426
1.35381 0.94124 107.50507 -2.2738042609
0.75014 0.92069 121.82684 0.7030124554
1.31577 0.91584 105.4153 -1.7410518255
0.91866 1.10511 114.22757 -0.1413312100
1.31771 0.91271 124.91861 -1.6875649564
1.18803 1.04059 102.98137 -0.5633726431
0.89187 1.04845 94.97043 -0.0220065334
1.14658 1.15362 107.00216 -0.6666626247
1.28106 0.99176 78.71477 -1.0848287985
1.16268 1.11694 117.72901 -0.5608198839
0.89454 1.03134 86.61722 -0.0093533526
1.24031 1.07233 121.26408 -0.9547004199
1.00483 1.31884 130.18814 -1.6282317432
0.92413 1.28238 113.17545 -1.3339356276
1.09309 1.04475 71.6266 0.0796888683
1.13226 0.72357 68.90136 0.6045510003
0.74704 1.10734 68.61713 0.3849296972
1.08771 1.05942 104.63703 -0.1636397477
1.34674 0.89578 116.36199 -2.1207955688
0.96733 0.72884 87.4944 1.0721802197
0.73348 0.89231 103.69923 1.0633200927
0.66795 1.02376 80.83377 2.4026373566
0.77523 1.00488 129.23654 0.3747532443
0.88955 0.83852 107.33138 0.1486621354
0.84664 0.94556 72.41909 0.0402111633
1.1733 0.96808 96.97285 -0.4304854287
1.05238 1.19985 103.71659 -0.6582679631
0.79868 1.20739 98.31901 -0.3564084248
1.1291 0.81867 124.90818 -0.0294273440
0.62184 1.00219 110.87698 4.4274878556
0.94439 0.80492 105.76289 0.2886120727
0.74739 0.96409 85.47678 0.7869160908
1.12105 0.80512 126.20821 0.0599930703
0.81588 1.24504 84.68723 -0.8097104736
0.89589 1.01642 124.02087 -0.0174364978
0.71233 0.98007 118.17476 1.3750668589
0.8175 0.90319 84.30926 0.2080345107
1.225 0.91102 79.92028 -0.7343009684
1.17124 0.8546 105.89984 -0.3505389835
1.03114 0.67545 138.55121 1.9013475145
1.00283 1.02768 110.48394 -0.0213801884
0.743 1.18136 129.76929 0.3571519173
0.81097 1.2138 112.55926 -0.4407709304
1.00892 0.80788 143.61542 -0.1849281835
0.88554 1.11584 68.97166 -0.1919163765
0.82828 1.16475 87.40342 -0.2719114890
1.0149 0.86981 119.5209 0.0256522640
0.88828 1.13857 72.55476 -0.2576251335
1.31253 0.94947 73.93573 -1.4736890802
1.01088 0.6534 110.51768 3.0625921139
1.10388 1.22953 95.17139 -0.9049759540
1.21563 0.97576 101.62024 -0.7248470302
1.01492 0.78573 125.48582 0.3374702436
0.9112 1.24239 133.76043 -0.8570161667
1.00527 0.86214 110.93315 0.0581454071
1.02376 1.24726 75.29555 -0.6709702629
0.93254 1.13941 74.60075 -0.2053651362
1.08066 0.95012 112.98559 -0.0865394934
1.18256 1.22776 80.64052 -0.8280713003
0.89164 0.75072 125.22028 0.6485134278
1.09864 0.80547 121.24941 0.1432621469
1.00993 0.70845 107.56163 1.4967456212
1.29558 1.05965 125.9721 -1.4363478472
1.18277 0.87655 77.2335 -0.4705636449
0.94341 0.94902 137.00239 -0.1692536485
1.15117 1.15268 99.44453 -0.6396632126
1.05098 0.9359 131.04139 -0.0585136960
0.86341 1.11063 129.77469 -0.1296052418
1.05258 1.14969 112.65925 -0.3677864273
0.88568 1.29803 136.09707 -1.4032245661
0.70382 1.09269 100.57975 1.4696512689
0.98508 1.14833 95.33214 -0.2939864542
0.86225 0.89967 121.5179 0.0111772681
1.10291 1.0612 117.83846 -0.1829780176
1.02563 1.26014 107.41314 -1.1435823121
0.91589 0.80905 119.88093 0.2052852084
0.76699 1.19074 118.99278 0.0707929353
0.91 0.77936 146.33792 -0.2745063562
0.9905 1.30956 88.45316 -1.5359710657
0.7819 0.97783 127.50021 0.3299686924
0.78793 1.09957 84.79442 0.1933033066
1.08785 1.19561 109.42204 -0.7067324077
0.96156 0.79052 83.09217 0.3406221242
1.02085 1.38199 77.5644 -2.2847287938
1.14933 0.91304 79.9047 -0.2799923224
0.82992 1.23851 72.16941 -0.8715695390
1.22931 0.89769 113.29159 -0.8071297124
1.38493 0.961 122.01113 -2.6970846948
0.79739 0.929 123.88074 0.2369623893
